comment_id,is_useful,project,revision_id,parent_revision,branch,file_name,directory,change_type,line_number,message,RPT,review_date,change_id,request_id,reviewer_id,reviewer_name,author_id,category,comment_group,RCE,PRC,MR,RI,PN,CCR,FUR,DUR,IBF,INF,base_total_loc,reviewer_own_loc,total_commit,reviewer_made_commit,WRC,CL,comment_loc,CCY,RCSH,CV,RCS,file_total_review,prior_directory_review_count,PFRC,directory_review_experience,avg_rating,manual_rating,final_patch_number,final_revision,file_review_ratio,directory_review_ratio,file_ownership,recent_review,sample_rating,definition_rating,PDL,review_length,PDR
1f769fc5_4baac085,1,openstack%2Fnova,5f2ec710cf38be6c23e04ce40e8a298d50e3b79d,5d748001c2ffb1197ff991ca69a95865087f1010,master,releasenotes/notes/bug-1414895-8f7d8da6499f8e94.yaml,releasenotes/notes,A,12,``literal``,47,12/24/18 14:30,I8fd6b9f857a1c4919c3365951e2652d2d477df77,618478,15334,Stephen Finucane,10135,Documentation,DOCUMENT,450,2939,46,8141,18,90,6,4,1,1,24,0,0,0,0,23,23,1,0,1,0,0,17924,0,482,3.73,1,21,d6c1f6a1032ed2ea99f3d8b70ccf38065163d785,0,0.0268913,0,0,3.63,3.83,274,1,42.04
1f769fc5_4bb5e0ed,1,openstack%2Fnova,5f2ec710cf38be6c23e04ce40e8a298d50e3b79d,5d748001c2ffb1197ff991ca69a95865087f1010,master,nova/conf/compute.py,nova/conf,M,575,nit: ``literal``,47,12/24/18 14:30,I8fd6b9f857a1c4919c3365951e2652d2d477df77,618478,15334,Stephen Finucane,10135,Documentation,DOCUMENT,450,2939,46,8141,18,90,6,4,1,0,1288,0,105,0,0,1292,33,1,0,0.0255418,0,125,1038,59,442,3.73,1,21,d6c1f6a1032ed2ea99f3d8b70ccf38065163d785,0.472,0.425819,0,0.224762,3.63,3.83,274,2,42.04
1f769fc5_660d7336,0,openstack%2Fnova,63d77bf63fd474d10fd7cac5f725784737bafa1a,5d748001c2ffb1197ff991ca69a95865087f1010,master,nova/conf/workarounds.py,nova/conf,M,221,"This one too?

https://review.openstack.org/#/c/618478/17/nova/conf/workarounds.py@221",47,12/24/18 16:02,I8fd6b9f857a1c4919c3365951e2652d2d477df77,618478,15334,Stephen Finucane,10135,Question,FALSE,450,2939,46,4461,19,90,6,4,1,0,225,63,16,2,0.0367647,255,14,1,0.125,0.054902,0.28,27,1038,12,442,0,0,21,d6c1f6a1032ed2ea99f3d8b70ccf38065163d785,0.444444,0.425819,0.28,0.206349,0,0,274,15,42.04
1f769fc5_668ebc79,1,openstack%2Fnova,7114549fe5449279a8169cce6e41652118cd042f,f554c613333412e94e980a965ce55cda16cc35fe,master,api-ref/source/servers-actions.inc,api-ref/source,M,284,must be?,47,12/27/18 16:21,Iee81ee4ed6d6bbfa2c17955396d4ff7f36f08017,615084,15334,Stephen Finucane,7634,Documentation,DOCUMENT,450,2921,277,222035,7,26,1,1,1,0,1103,0,58,0,0,173,173,1,0,1,0,70,1687,14,152,3.73,1,13,a925c8b06de9205eb69ff1272d8a64f06dfe7eda,0.2,0.0901008,0,0.0422535,3.63,3.83,26,2,52.36
1f769fc5_73d6a052,1,openstack%2Fnova,444441ec30e089761b7f4db68787b7b4e4dcf606,8d50d2ca84a654df23919b92c62bca4db88ad8e3,master,nova/tests/functional/test_conf_max_attach_disk_devices.py,nova/tests/functional,A,117,"The functional test fails here like

Traceback (most recent call last):
  File ""/home/zuul/src/git.openstack.org/openstack/nova/nova/tests/functional/test_conf_max_attach_disk_devices.py"", line 117, in test_attach
    self.assertIn(expected, ex.message)
AttributeError: 'OpenStackApiException' object has no attribute 'message'

and the wsgi seems to return as here expects:

 nova.exception.TooManyDiskDevices: The maximum allowed number of disk devices: 2 to attach to a single instance has been exceeded
 2018-12-20 19:51:26,107 INFO [nova.api.openstack.wsgi] HTTP exception thrown: The maximum allowed number of disk devices: 2 to attach to a single instance has been exceeded

Maybe here should be

 self.assertIn(expected, ex.response.text)",25,12/21/18 23:42,Ia9cc1c250483c31f44cdbba4f6342ac8d7fbe92b,616777,6167,Ken'ichi Ohmichi,4690,Interface,FUNCTION,325,3141,22,101688,6,226,9,7,0,1,114,0,0,0,0,121,25,11,0,0.206612,0,0,689,0,158,4.095,1,13,bb0906f4f3199295e9f65bd4c8f6cab995f4ec42,0,0.229318,0,0,4,4.19,73,118,39.67
1f769fc5_7a0f08e1,1,openstack%2Fnova,131c4649f7057dc3c47d354659319b6527d05167,35505c09dee5a3490411a37f9790d96e3a3acbbf,master,nova/objects/virtual_interface.py,nova/objects,M,206,"NetworkInfo is a list of VIFs, not ports.

This really should be:

 nw_info = info_cache.network_info
 cached_vif_ids = [vif['id'] for vif in nw_info]
 db_vif_ids = [vif.uuid for vif in vif_list]

 if cached_vif_ids == db_vif_ids:
     continue
 ...",93,1/2/19 18:31,Ic26d4ce3d071691a621d3c925dc5cd436b2005f1,614167,7,Jay Pipes,24791,Solution Approach,REFACTOR,366,3572,5,1073102,9,150,3,3,1,0,144,0,19,0,0,288,54,39,0,0.1875,0,29,2130,5,546,4,2,20,3534471c578eda6236e79f43153788c4725a5634,0.172414,0.256338,0,0.0344828,3.88,4.12,101,46,40.14
1f769fc5_9a5a2428,1,openstack%2Fnova,131c4649f7057dc3c47d354659319b6527d05167,35505c09dee5a3490411a37f9790d96e3a3acbbf,master,nova/objects/virtual_interface.py,nova/objects,M,168,"here and throughout, use port['id'] if the field in the dict is expected to exist. The way that get() is used here and throughout will essentially hide data corruption errors.",93,1/2/19 18:31,Ic26d4ce3d071691a621d3c925dc5cd436b2005f1,614167,7,Jay Pipes,24791,Solution Approach,REFACTOR,366,3572,5,1073102,9,150,3,3,1,0,144,0,19,0,0,288,54,39,0,0.1875,0,29,2130,5,546,4,2,20,3534471c578eda6236e79f43153788c4725a5634,0.172414,0.256338,0,0.0344828,3.88,4.12,101,31,40.14
1f769fc5_aba594b7,1,openstack%2Fnova,5f2ec710cf38be6c23e04ce40e8a298d50e3b79d,5d748001c2ffb1197ff991ca69a95865087f1010,master,releasenotes/notes/bug-1414895-8f7d8da6499f8e94.yaml,releasenotes/notes,A,0,whitespace damage,47,12/24/18 14:30,I8fd6b9f857a1c4919c3365951e2652d2d477df77,618478,15334,Stephen Finucane,10135,Visual Representation,REFACTOR,450,2939,46,8141,18,90,6,4,1,1,24,0,0,0,0,23,23,1,0,1,0,0,17924,0,482,2.915,1,21,d6c1f6a1032ed2ea99f3d8b70ccf38065163d785,0,0.0268913,0,0,2.71,3.12,274,2,42.04
1f769fc5_b82dd647,1,openstack%2Fnova,63d77bf63fd474d10fd7cac5f725784737bafa1a,5d748001c2ffb1197ff991ca69a95865087f1010,master,releasenotes/notes/bug-1414895-8f7d8da6499f8e94.yaml,releasenotes/notes,A,19,same nit about the ``instances_path`` option being mentioned somewhere in here,69,12/26/18 20:20,I8fd6b9f857a1c4919c3365951e2652d2d477df77,618478,6873,Matt Riedemann,10135,Documentation,DOCUMENT,2115,6386,343,192718,19,90,6,4,1,1,24,0,0,0,0,23,23,1,0,1,0,0,17924,0,1025,3.73,1,21,d6c1f6a1032ed2ea99f3d8b70ccf38065163d785,0,0.0571859,0,0,3.63,3.83,274,12,42.04
1f769fc5_ba2e0041,1,openstack%2Fnova,131c4649f7057dc3c47d354659319b6527d05167,35505c09dee5a3490411a37f9790d96e3a3acbbf,master,nova/objects/virtual_interface.py,nova/objects,M,228,How about logging a message here saying you got an unexpected number of VIF records in the database compared to what was stored in the instance_info_caches table?,93,1/2/19 18:31,Ic26d4ce3d071691a621d3c925dc5cd436b2005f1,614167,7,Jay Pipes,24791,Alternate Output,REFACTOR,366,3572,5,1073102,9,150,3,3,1,0,144,0,19,0,0,288,54,39,0,0.1875,0,29,2130,5,546,3.63,2,20,3534471c578eda6236e79f43153788c4725a5634,0.172414,0.256338,0,0.0344828,3.87,3.39,101,29,40.14
1f769fc5_baffe0ff,1,openstack%2Fnova,131c4649f7057dc3c47d354659319b6527d05167,35505c09dee5a3490411a37f9790d96e3a3acbbf,master,nova/objects/virtual_interface.py,nova/objects,M,167,"this should be ""context"" not ""cctxt"".",93,1/2/19 18:31,Ic26d4ce3d071691a621d3c925dc5cd436b2005f1,614167,7,Jay Pipes,24791,Naming Convention,REFACTOR,366,3572,5,1073102,9,150,3,3,1,0,144,0,19,0,0,288,54,39,0,0.1875,0,29,2130,5,546,3.43,2,20,3534471c578eda6236e79f43153788c4725a5634,0.172414,0.256338,0,0.0344828,3.75,3.11,101,6,40.14
1f769fc5_cbc81076,1,openstack%2Fnova,5f2ec710cf38be6c23e04ce40e8a298d50e3b79d,5d748001c2ffb1197ff991ca69a95865087f1010,master,nova/conf/workarounds.py,nova/conf,M,232,``literal``,47,12/24/18 14:30,I8fd6b9f857a1c4919c3365951e2652d2d477df77,618478,15334,Stephen Finucane,10135,Documentation,DOCUMENT,450,2939,46,8141,18,90,6,4,1,0,225,63,16,2,0.0367647,255,14,1,0.125,0.054902,0.28,27,1038,12,442,3.73,1,21,d6c1f6a1032ed2ea99f3d8b70ccf38065163d785,0.444444,0.425819,0.28,0.206349,3.63,3.83,274,1,42.04
1f769fc5_cefed404,0,openstack%2Fnova,a2bc83da57eda84f46d3e340b23c6ec6c57a111e,f554c613333412e94e980a965ce55cda16cc35fe,master,doc/source/contributor/api-ref-guideline.rst,doc/source/contributor,M,126,This one seems no difference... but I'm not expert ...,46,12/26/18 2:50,I7a8a8d64dfc49b1e15135259388285ceeae2fb2c,625454,15888,Zhenyu Zheng,7634,Documentation,FALSE,228,1356,155,86945,2,12,1,1,1,0,437,0,6,0,0,435,435,1,0,1,0,7,1364,4,16,0,0,4,64f97177c563428c7cb0e2eba14414cae2bb8ca9,0.571429,0.0117302,0,0.357143,0,0,21,10,69.11
1f769fc5_d83212a8,1,openstack%2Fnova,63d77bf63fd474d10fd7cac5f725784737bafa1a,5d748001c2ffb1197ff991ca69a95865087f1010,master,releasenotes/notes/bug-1414895-8f7d8da6499f8e94.yaml,releasenotes/notes,A,18,"This warning doesn't show up for some reason in the rendered notes:

http://logs.openstack.org/78/618478/19/check/build-openstack-releasenotes/dfdad4b/html/unreleased.html#other-notes",69,12/26/18 20:20,I8fd6b9f857a1c4919c3365951e2652d2d477df77,618478,6873,Matt Riedemann,10135,Documentation,DOCUMENT,2115,6386,343,192718,19,90,6,4,1,1,24,0,0,0,0,23,23,1,0,1,0,0,17924,0,1025,3.73,2,21,d6c1f6a1032ed2ea99f3d8b70ccf38065163d785,0,0.0571859,0,0,3.63,3.83,274,30,42.04
1f769fc5_da873c61,1,openstack%2Fnova,131c4649f7057dc3c47d354659319b6527d05167,35505c09dee5a3490411a37f9790d96e3a3acbbf,master,nova/objects/virtual_interface.py,nova/objects,M,194,"it is a singular object, not plural. Just call it info_cache, not instance_info_caches...",93,1/2/19 18:31,Ic26d4ce3d071691a621d3c925dc5cd436b2005f1,614167,7,Jay Pipes,24791,Naming Convention,REFACTOR,366,3572,5,1073102,9,150,3,3,1,0,144,0,19,0,0,288,54,39,0,0.1875,0,29,2130,5,546,3.43,1,20,3534471c578eda6236e79f43153788c4725a5634,0.172414,0.256338,0,0.0344828,3.75,3.11,101,16,40.14
1f769fc5_eb2aac8e,0,openstack%2Fnova,63d77bf63fd474d10fd7cac5f725784737bafa1a,5d748001c2ffb1197ff991ca69a95865087f1010,master,nova/conf/workarounds.py,nova/conf,M,218,"Looks like the comment from mriedem is still unaddressed?

https://review.openstack.org/#/c/618478/17/nova/conf/workarounds.py@218",47,12/24/18 16:02,I8fd6b9f857a1c4919c3365951e2652d2d477df77,618478,15334,Stephen Finucane,10135,Question,FALSE,450,2939,46,4461,19,90,6,4,1,0,225,63,16,2,0.0367647,255,14,1,0.125,0.054902,0.28,27,1038,12,442,0,0,21,d6c1f6a1032ed2ea99f3d8b70ccf38065163d785,0.444444,0.425819,0.28,0.206349,0,0,274,21,42.04
1f769fc5_ee515010,1,openstack%2Fnova,f986cfdc0742b0607b5ce8c58526336512451731,4022171a61291bf2d566d4361e165af88c7058a6,master,doc/source/contributor/api-ref-guideline.rst,doc/source/contributor,M,280,"this seems wrong, but again, I'm not expert on this",46,12/26/18 2:50,I7a8a8d64dfc49b1e15135259388285ceeae2fb2c,625454,15888,Zhenyu Zheng,7634,Documentation,DOCUMENT,228,1356,155,784435,1,12,1,1,1,0,398,0,5,0,0,396,396,1,0,1,0,7,1364,4,16,3.73,1,4,64f97177c563428c7cb0e2eba14414cae2bb8ca9,0.571429,0.0117302,0,0.357143,3.63,3.83,21,11,69.11
1f769fc5_f3463022,1,openstack%2Fnova,444441ec30e089761b7f4db68787b7b4e4dcf606,8d50d2ca84a654df23919b92c62bca4db88ad8e3,master,nova/compute/utils.py,nova/compute,M,208,"The reason why here doesn't consider the type 'ide' (which maximum number is fixed with 4 without configuration in this patch) is this method is not called in 'ide' condition, right?",25,12/21/18 23:48,Ia9cc1c250483c31f44cdbba4f6342ac8d7fbe92b,616777,6167,Ken'ichi Ohmichi,4690,Question,DISCUSS,325,3141,22,102035,6,226,9,7,0,0,1272,0,237,0,0,1281,65,96,0,0.0507416,0,325,5448,17,344,3.985,2,13,bb0906f4f3199295e9f65bd4c8f6cab995f4ec42,0.0523077,0.0631424,0,0.00288815,3.89,4.08,73,32,39.67
1f769fc5_f54810cd,1,openstack%2Fnova,0ce581369838dbe6909bdd8847aefac2aff1177e,7381ec7d7c318bddd42e1d90a171d20b2ec6f49d,master,nova/tests/functional/regressions/test_bug_1790204.py,nova/tests/functional/regressions,A,70,"yup... good that you mention the role that the allocation ratio plays in this, since it's not actually the vCPU change that will cause the failure -- and since your flavor2 only changes the vcpus count, that's a bit misleading.",93,1/2/19 15:10,I036a5ceabe88dcc1fd85c09472481de7d02edf5f,619123,7,Jay Pipes,6873,Praise,DISCUSS,369,3590,319,1094458,2,77,1,1,1,1,76,0,0,0,0,77,23,3,0,0.298701,0,0,212,0,22,3.03,1,2,0ce581369838dbe6909bdd8847aefac2aff1177e,0,0.103774,0,0,3.07,2.99,90,41,49.35
1f769fc5_f8010eb1,1,openstack%2Fnova,63d77bf63fd474d10fd7cac5f725784737bafa1a,5d748001c2ffb1197ff991ca69a95865087f1010,master,nova/conf/workarounds.py,nova/conf,M,235,"nit: to be extra clear, could probably add, ""ensure that the instance directory itself, specified via ``[DEFAULT]/instances_path``, is not shared..."".",69,12/26/18 20:20,I8fd6b9f857a1c4919c3365951e2652d2d477df77,618478,6873,Matt Riedemann,10135,Documentation,DOCUMENT,2115,6386,343,192718,19,90,6,4,1,0,225,0,16,0,0,255,14,1,0,0.054902,0,27,1038,16,402,3.73,1,21,d6c1f6a1032ed2ea99f3d8b70ccf38065163d785,0.592593,0.387283,0,0.359788,3.63,3.83,274,22,42.04
1f769fc5_fa690b8b,1,openstack%2Fnova,a2bc83da57eda84f46d3e340b23c6ec6c57a111e,f554c613333412e94e980a965ce55cda16cc35fe,master,doc/source/contributor/api-ref-guideline.rst,doc/source/contributor,M,237,"I saw the previous comment related to this.
But this line seems useful to understand what we should write as the restrictions.",25,12/25/18 22:17,I7a8a8d64dfc49b1e15135259388285ceeae2fb2c,625454,6167,Ken'ichi Ohmichi,7634,Documentation,DOCUMENT,325,3183,216,70616,2,12,1,1,1,0,437,0,6,0,0,435,435,1,0,1,0,7,1364,6,30,3.73,2,4,64f97177c563428c7cb0e2eba14414cae2bb8ca9,0.857143,0.0219941,0,0.75,3.63,3.83,21,22,69.11
1f769fc5_fab8f82a,1,openstack%2Fnova,131c4649f7057dc3c47d354659319b6527d05167,35505c09dee5a3490411a37f9790d96e3a3acbbf,master,nova/objects/virtual_interface.py,nova/objects,M,195,"you are not properly handling InstanceInfoCacheNotFound:

https://github.com/openstack/nova/blob/357b8b38e88300948bb2e07d1bbaabd1e9d7b60e/nova/objects/instance_info_cache.py#L70",93,1/2/19 18:31,Ic26d4ce3d071691a621d3c925dc5cd436b2005f1,614167,7,Jay Pipes,24791,Solution Approach,REFACTOR,366,3572,5,1073102,9,150,3,3,1,0,144,0,19,0,0,288,54,39,0,0.1875,0,29,2130,5,546,4,1,20,3534471c578eda6236e79f43153788c4725a5634,0.172414,0.256338,0,0.0344828,3.88,4.12,101,20,40.14
3f79a3b5_01e4f0a5,1,openstack%2Fnova,33aa1ec50a6733c30faeabd2f1b345b447498a7e,5153f122446905688526436634332bf81660a4f4,master,nova/pci/request.py,nova/pci,M,237,"im not sure this is sufficent.

i think we will need to take into account what host the vif is bound to handel the migration case. other wise this will only work if we dont use the multiple port binding feature.

since we want to use that feature this will be ambigious if 
the pci address of the vif did not change as part of the migfation.

ideally we should probably avoid using the pci_slot entirely if we can and look it up based on other critiera such as the instace vif and host.

that said im not sure we can do that today.",55,11/26/18 19:37,I9ba475e91b8283f063db446de74d3e4b2de002c5,619929,11604,sean mooney,28714,Design discussion,DISCUSS,30,149,4,8759,2,87,2,2,0,0,256,0,15,0,0,292,25,25,0,0.0856164,0,34,244,4,9,3.865,1,25,30295f1a141bb10f69f39c7ba453c7162db926b2,0.117647,0.0368852,0,0.0168067,3.66,4.07,68,105,40.55
3f79a3b5_025efd12,1,openstack%2Fnova,d779b33d72d6ef41651ce7b93fe982f121bae2d7,183f6238c1d98b04fdcee0fb70212f01f4012ae4,master,nova/tests/unit/compute/test_rpcapi.py,nova/tests/unit/compute,M,615,"Not sure why we don't just do this in setUp so each individual test doesn't need to remember to do it, but that could be done as a cleanup follow up (same for NO_COMPUTES_WARNING really).",69,12/11/18 15:27,Icddbe4760eaff30e4e13c1e8d3d5d3f489dac3c4,623284,6873,Matt Riedemann,4393,Organization of code,REFACTOR,2140,6448,1061,677,4,45,2,2,1,0,601,0,73,1,0.0125879,619,16,98,0.0136986,0.0258481,0,142,2233,57,1093,3.68,2,4,d779b33d72d6ef41651ce7b93fe982f121bae2d7,0.401408,0.489476,0,0.162809,3.74,3.62,65,39,51.89
3f79a3b5_02c8924b,0,openstack%2Fnova,7a08c7714d90cd4766ffb27fab1a8ac3f431399c,7fa740491e53195021036af69a0ddfde183daef5,master,nova/tests/functional/db/test_build_request.py,nova/tests/functional/db,M,516,"So this test creates 3 build requests and the marker is the 2nd in the list, so we should only get the 3rd and final build request back, which is what gets asserted. âœ”",69,12/19/18 21:14,I5165b69f956fbf1904112a742698b2739f747e72,624870,6873,Matt Riedemann,21813,Other,FALSE,2162,6471,21,134615,2,12,2,2,1,0,609,82,13,1,0.120879,609,32,52,0.0769231,0.0525452,0.134647,21,360,13,196,0,0,3,2ef704cba619a149336692311c2614742aa32909,0.619048,0.544444,0.134647,0.393939,0,0,98,34,68.77
3f79a3b5_042bdbe9,0,openstack%2Fnova,073c330f52dfa535e6f787f5bb2fc8ec52f1be9a,514eaaef12dad2460fd4c2fffdc05a3db0490711,master,nova/compute/resource_tracker.py,nova/compute,M,809,"(thinking out loud again) this will be true only when there wasn't a compute node record in the database, so when the nova-compute process runs, then stops, then runs again clear... won't be called",55,11/6/18 11:29,Ieeaad9783e0ff93377fbc6c7932618d2fac8946a,615677,11564,Chris Dent,14070,Other,FALSE,322,1275,202,41550,2,81,2,2,0,0,1501,0,355,0,0,1505,250,186,0,0.166113,0,580,5445,85,201,0,0,20,deef31729bd54f3747b7adba4132f148559c2242,0.146552,0.0369146,0,0.0216927,0,0,206,37,60.75
